description,name,url
윤활유,윤활유,200L
하우톤,하우톤 절삭유240E,20L
쉘,토나T*32(습동면유),20L
GS,GS 란도*46(유압유),20L
에임텍,AIM CUT 101(절삭유),20L
하우톤,하우톤 절삭유240E,20L
쉘,토나T S2 M *68(습동면유),20L
미창,Micking EP*32(유압유),20L
미창,Micking EP*46(유압유),20L
미창,Micking EP*46(유압유),200L
쉘,토나T S2 M *68(습동면유),20L
쉘,텔라스*32(유압유),20L
쉘,토나T S2 M *68(습동면유),20L
쉘,토나T S2 M *68(습동면유),20L
캐스,캐스 Almaredgo 230K(절삭유),20L
쉘,토나T S2 M *68(습동면유),20L
GX케미칼,GX 코타루-8000(수용성절삭유),20L
유니온캐미(서스용),텝핑유,18KG
하우톤,COOL 293A(수용성절삭유),20L
모빌,박트라NO2(습동면유),20L
쉘,텔라스*32(유압유),20L
이수화학,ISU 아졸라*46(유압유),20L
쉘,SHell Gadus S2 U460L(고온그리스),15KG
모빌,DTE-라이트(터빈*32),20L
신아정유,신아way#68(기계유),20L
슈퍼루브,"슈퍼루브(고온,고열)",2.5KG
한국유연,BECHEM(베켐)331S 절삭유,20L
쉘,토나T S2 M *68(습동면유),20L
GS,GS 란도*46(유압유),20L
하우톤,COOL 293A(수용성절삭유),20L
쉘,토나T S2 M *68(습동면유),20L
하우톤,텍틸 SYN 300(M)절삭유,200L
범우,EDM-211(방전유),20L
하우톤,하우톤 COOL  240E(절삭유),200L
쉘,SHell Gadus S2 U460L(고온그리스),15KG
쉘,토나 S2 M *68,200L
하우톤,하우톤 COOL  240E(절삭유),200L
이수화학,ISU 아졸라*46(유압유),20L
쉘,토나T S2 M *68(습동면유),20L
쉘,토나T S2 M *68(습동면유),20L
쉘,토나T S2 M *68(습동면유),20L
쉘,토나T S2 M *68(습동면유),20L
쉘,토나T S2 M *68(습동면유),20L
GS정유,GS 정유  E D M F (방전유),200L
쉘,토나T S2 M *68(습동면유),20L
PB-1,PB-1,20L
삼육특수유,100S (연마유),20L
쉘,토나T*32(습동면유),20L
모빌,박트라NO4(#220),20L
하우톤,COOL 293A(수용성절삭유),20L
하우톤,하우톤 WAY#68A(터글유),20L
S-0IL,RV C-3 5/30,6L
GS,란도*46,4L
한국오일,AIR COMP P #68,4L
천미광유,BL NO.2/청색 그리이스,15KG
이수화학,ISU 아졸라*46(유압유),20L
천미광유,하이렉스OHD*2(막대구리스),400G
SK,ZICX7000 10W-40,4L
S-OIL,S-OIL 하이드로 AW 46(유압유),20L
GS,Kixx Grease EP.2(그리이스),15KG
한국오일,AIR COMP P #68,4L
머그,머그 구리스,0.5KG
바달,바달 구리스,1L
튜브병,튜브병,0.5ml
SK,ZIC X7000 10W-40,20L
GS,GS 란도*46(유압유),20L
GS,Kixx Grease EP.2(그리이스),15KG
SK,ZICX7000 10W-40,4L
SK,ZIC X7000 10W-40,20L
GS,GS 란도*46(유압유),20L
GS,GS 란도*46(유압유),20L
GS,기어오일 80W/90,20L
발보린,15W/40,20L
GS,GS 란도*46(유압유),20L
GS,GS 란도*46(유압유),20L
브레이크엑,브레이크엑,1L
파워오일,파워오일,1L
천미광유,구리스NO.3,1KG
천미광유,샤시구리스NO.2,15KG
첨가제,첨가제,1L
현대,현대 X Teer 기어#220,20
GS,GS 란도*46(유압유),20L
GS,투반*90(기어유),4L
sk,콤푸레샤오일32(스쿠류형),20L
SK,ZIC X7000 10W-40,20L
브레이크엑,브레이크엑,1L
GS,뉴 란도HD*CZ,20L
S-0IL,RV C-3 5/30,6L
SK,ZIC X700010W-40,6L
요소수,요소수,10L
GS,GS 란도*46(유압유),20L
GS,골든펄2(그리이스),3KG
장갑,장갑,1묶음
우림코리아,비수용절삭유,20L
SK,ZIC X7000 10W-40,20L
GS,GS 란도*46(유압유),20L
현대,현대 X Teer 기어#220,20
SK,베가#46   (유압유),4L
요소수,요소수,10L
GS,란도*32(유압유),20L
SK,ZICX7000 10W-40,4L
GS,GS 란도*46(유압유),20L
이수화학,ISU 아졸라*46(유압유),20L
GS,투반*90(기어유),4L
GS,GS 란도*46(유압유),20L
SK,2T,1L
GS,GS 란도*46(유압유),20L
부동액,부동액,3L
현대,현대 X Teer 기어#150,20L
머그,머그 구리스,0.5KG
부동액,부동액,16L
GS,GS 란도*46(유압유),20L
요소수,요소수,10L
SK,ZIC X700010W-40,6L
GS,Kixx Do 15W40,20L
GS,Kixx Da 10w/40,20L
GS,GS 란도*46(유압유),20L
SK,ZIC X700010W-40,6L
천미광유,하이렉스OHD*2,15KG
SK,베가#46   (유압유),4L
자바라,자바라,EA
파워오일,파워오일,1L
GS,GS 란도*46(유압유),20L
GS,GS 란도*46(유압유),20L
슈퍼루브,슈퍼루브,0.5KG
쉘,토나T S2 M *68(습동면유),20L
GS,GS 란도*46(유압유),20L
발보린,발보린,6L
파워오일,파워오일,1L
첨가제,첨가제,1L
GS,덱스론*3,20L
STOP,STOP,1L
천미광유,천미 EP#2(그리이스),15KG
GS,뉴 란도HD*CZ,20L
GS,Kixx   10W/40,6L
부동액,부동액,3L
미창석유,PUNCH-300,20L
증류수,증류수,18L
GS,GS 란도*46(유압유),20L
GS,기어오일 80W/90,20L
GS,Kixx Ga(가솔린) 7.5w/30,4L
GS,하이솔,20L
현대오일,현대 XTeer WAY@68(기계유),20L
요소수,요소수,10L
GS,CX부동액,3L
GS,Kixx Do 15W40,20L
GS,골든펄2(그리이스),3KG
증류수,증류수,18L
부동액,부동액,3L
쉘,리무라R5(엔진오일),20L
GS,G1(5W30),4L
현대,현대 X Teer 기어#150,20L
이수화학,ISU 아졸라*46(유압유),20L
GS,Kixx Da 10w/40,20L
GS,투반*90(기어유),4L
쉘,리무라ULTRA,20L
모빌,모빌후루이드-424,20L
부동액,부동액,3L
미창석유,PUNCH-300,20L
현대,현대 X Teer 기어#220,20
요소수,요소수,10L
GS,GS 란도*46(유압유),20L
이수화학,ISU 아졸라*46(유압유),20L
GS,Kixx Grease EP.2(그리이스),15KG
GS,란도*46,4L
GS,GS 란도*46(유압유),20L
현대,현대 X Teer 기어#220,20
현대오일,XTeer IGO VG 320,20L
윤활유,윤활유,20L
GS,뉴 란도HD*CZ,20L
천미광유,하이렉스OHD*2,15KG
SK,ZIC X700010W-40,6L
GS,뉴 란도HD*CZ,20L
SK,ZIC-VEGA*46(유압유),20L
SK,ZIC X700010W-40,6L
GS,Kixx Grease EP3 (그리이스),15KG
GS,Kixx Grease EP.2(그리이스),15KG
쉘,리무라R5(엔진오일),20L
GS,Kixx Ga(가솔린) 7.5w/30,4L
브레이크엑,브레이크엑,1L
이수화학,ISU 아졸라*46(유압유),20L
증류수,증류수,18L
한국오일,AIR COMP P#68(콤푸레셔),20L
GS,란도*32(유압유),20L
현대오일,현대 Cut 101(비수용절삭유),20L
하우톤,COOL 293A(수용성절삭유),20L
현대오일,현대 XTeer WAY@68(기계유),20L
신아캐미칼,신아 SA-110(절삭유),20L
셀텍,ALL cool E-400(절삭유),200L
하우톤,하우톤 절삭유240E,20L
쉘,토나T S2 M *68(습동면유),20L
쉘,토나T S2 M *68(습동면유),20L
하우톤,COOL 293A(수용성절삭유),20L
쉘,토나T S2 M *68(습동면유),20L
현대오일,현대 XTeer WAY@68(기계유),20L
모빌,박트라NO2(습동면유),20L
하우톤,하우톤 COOL  240E(절삭유),200L
GS,Kixx Grease EP.2(그리이스),15KG
쉘,토나T S2 M *68(습동면유),20L
쉘,토나T*32(습동면유),20L
하우톤,COOL 293A(수용성절삭유),20L
하우톤,COOL 293A(수용성절삭유),20L
현대오일,현대 XTeer WAY@68(기계유),20L
이수화학,ISU 아졸라*46(유압유),20L
하우톤,COOL 293A(수용성절삭유),20L
범우,P-340N,P/L
GS,Kixx Grease EP.2(그리이스),15KG
하우톤,COOL 293A(수용성절삭유),20L
쉘,토나T S2 M *68(습동면유),20L
신아캐미칼,신아 SA-110(절삭유),20L
윤활유,윤활유,200L
현대오일,현대 XTeer IGO VG 150,20L
신아루벨,신아 루벨 701(절삭유),200L
신아루벨,신아 루벨 701(절삭유),200L
쉘,토나T S2 M *68(습동면유),20L
에임텍,AIM CUT 101(절삭유),20L
에임텍,AIM GRIND 201PLUS(연삭유),20L
하우톤,하우톤 절삭유240E,20L
쉘,토나T S2 M *68(습동면유),20L
GS,GS 란도*46(유압유),20L
쉘,토나T S2 M *68(습동면유),20L
증류수,증류수,18L
증류수,증류수,18L
하우톤,COOL 293A(수용성절삭유),20L
쉘,토나T S2 M *68(습동면유),20L
현대오일,현대 XTeer WAY@68(기계유),20L
하우톤,텍틸 SYN 300(M)절삭유,20L
하우톤,텍틸 그린 100C(절삭유),200L
모빌,박트라NO2(습동면유),20L
이수화학,ISU 아졸라*46(유압유),20L
이수화학,ISU 아졸라*46(유압유),20L
에임텍,AIM GRIND 201PLUS(연삭유),20L
쉘,토나T S2 M *68(습동면유),20L
하우톤,COOL 293A(수용성절삭유),20L
폐수,폐수,200L
GS,GS 란도*46(유압유),20L
하우톤,하우톤 WAY#68A(터글유),20L
모빌, 썸#603(열매체유),20L
이수화학,ISU(AZOLLA)유압작동유*46,200L
쉘,토나T S2 M *68(습동면유),20L
쉘,토나T*32(습동면유),20L
GX 코타루-7000,GX 코타루-7000(연삭유),20L
GX 코타루-7000,GX 코타루-7000(연삭유),20L
GX 코타루-7000,GX 코타루-7000(연삭유),20L
셀텍,SELBIO 8822B,20L
하우톤,COOL 293A(수용성절삭유),20L
현대오일,현대 XTeer WAY@68(기계유),20L
쉘,텔라스M*68(유압유),20L
쉘,토나T S2 M *68(습동면유),20L
이수화학,ISU(AZOLLA)유압작동유*46,200L
GS,GS칼텍스 란도HD*46(유압유),200L
쉘,토나T S2 M *68(습동면유),20L
쉘,토나T S2 M *68(습동면유),20L
하우톤,하우톤 텍틸 260(절삭유),20L
HI YUN(하이 윤),HI YUN(하이 윤),20L
쉘,토나T S2 M *68(습동면유),20L
하우톤,"하우톤 COOL242(동,절삭유)",20L
SK,ZIC-VEGA*46(유압유),200L
청소 용역비,청소 용역비,20L
현대오일,현대 XTeer WAY@68(기계유),20L
하우톤,COOL 293A(수용성절삭유),200L
오일 스키머,오일 스키머,EA
하우톤,COOL 293A(수용성절삭유),20L
쉘,토나T S2 M *68(습동면유),20L
현대오일,현대 XTeer WAY@68(기계유),20L
하우톤,COOL 293A(수용성절삭유),20L
쉘,오말라*220(기어유),20L
천미광유,하이렉스OHD*3,15KG
삼육특수유,삼육 SY-100절삭유1종2호,20L
쉘,토나T S2 M *68(습동면유),20L
삼육특수유,W-100S(연마유),200L
부원산업,부원 RT-936(수용성방청유),20L
GS,G.신솔10L(절삭유),20L
GS,G.신솔10L(절삭유),20L
현대오일,현대 XTeer WAY@68(기계유),20L
모빌,박트라NO2(습동면유),20L
이수화학,ISU 아졸라*46(유압유),20L
삼육특수유,100S (연마유),20L
범우,범우 EP-828(드로우),200L
GX케미칼,GX 코타루-8000(수용성절삭유),20L
하우톤,텍틸 Super Green 100C(절삭유),20L
하우톤,하우톤 WAY#68A(터글유),20L
하우톤,COOL 293A(수용성절삭유),20L
하우톤,COOL 293A(수용성절삭유),20L
하우톤,COOL 293A(수용성절삭유),20L
극동유화,극동 기어#220,20L
GS,GS 란도*46(유압유),20L
GS,투반*90 (기어유),20L
하우톤,미스트유 MQL-940(미스트오일),200L
하우톤,미스트유 MQL-932,200L
하우톤,미스트유 MQL-940(미스트오일),200L
SK,ZIC X7000 10W-40,20L
부동액,부동액,16L
쉘,토나T S2 M *68(습동면유),20L
쉘,토나T*32(습동면유),20L
쉘,토나#220,20L
쉘,토나T S2 M *68(습동면유),20L
이수화학,ISU 아졸라*46(유압유),20L
이수화학,ISU 아졸라*46(유압유),20L
이수화학,ISU 아졸라*46(유압유),20L
요소수,요소수,10L
이수화학,ISU(AZOLLA)유압작동유*46,200L
GS,웨이 루브리칸트#68,20L
하우톤,텍틸 SYN 300(M)절삭유,20L
이수화학,ISU 아졸라*46(유압유),20L
GS,G1(5W30),4L
SK,ZIC-VEGA*46(유압유),20L
에임텍,AM Super EP#0(그리스),15KG
윤활유,윤활유,200L
윤활유,윤활유,200L
쉘,토나T S2 M *68(습동면유),20L
하우톤,하우톤 절삭유240E,20L
신아정유,화이트스핀들유#10,20L
GS,GS 란도*46(유압유),20L
천미광유,샤시구리스NO.2,15KG
하우톤,하우톤 슈퍼 #32(유압작동유),200L
증류수,증류수,18L
SK,ZIC-VEGA*46(유압유),20L
GS,GS 란도*46(유압유),20L